numNodes,maxDelayTime,createEdgeThreshold,edgeWeightMax,correctness,standardDeviation
3,3,1,5,0,0.14007
3,3,1,10,0,0.121613
3,3,1,15,0,0.16789
3,3,1,20,0,0.186383
3,3,3,5,0,0.243085
3,3,3,10,0,0.228094
3,3,3,15,0,0.296013
3,3,3,20,0,0.336329
3,3,5,5,0,0.310536
3,3,5,10,0,0.345587
3,3,5,15,0,0.381851
3,3,5,20,0,0.482916
3,3,7,5,0,0.348196
3,3,7,10,0,0.385477
3,3,7,15,0,0.432187
3,3,7,20,0,0.569072
3,3,9,5,0,0.388492
3,3,9,10,0,0.425564
3,3,9,15,0,0.51444
3,3,9,20,0,0.727275
4,3,1,5,0,0.162164
4,3,1,10,0,0.156203
4,3,1,15,0,0.170673
4,3,1,20,0,0.16789
4,3,3,5,0,0.262459
4,3,3,10,0,0.220108
4,3,3,15,0,0.299375
4,3,3,20,0,0.338305
4,3,5,5,0,0.289171
4,3,5,10,0,0.345281
4,3,5,15,0,0.387177
4,3,5,20,0,0.450932
4,3,7,5,0,0.33314
4,3,7,10,0,0.383733
4,3,7,15,0,0.462223
4,3,7,20,0,0.579564
4,3,9,5,0,0.383544
4,3,9,10,0,0.432317
4,3,9,15,0,0.522943
4,3,9,20,0,0.755175
5,3,1,5,0,0.099549
5,3,1,10,0,0.165055
5,3,1,15,0,0.162164
5,3,1,20,0,0.201486
5,3,3,5,0,0.235743
5,3,3,10,0,0.250147
5,3,3,15,0,0.290414
5,3,3,20,0,0.345587
5,3,5,5,0,0.313046
5,3,5,10,0,0.31883
5,3,5,15,0,0.385025
5,3,5,20,0,0.463886
5,3,7,5,0,0.32629
5,3,7,10,0,0.387135
5,3,7,15,0,0.46549
5,3,7,20,0,0.584271
5,3,9,5,0,0.413776
5,3,9,10,0,0.397075
5,3,9,15,0,0.548942
5,3,9,20,0,1.032977
6,3,1,5,0,0.129336
6,3,1,10,0,0.143456
6,3,1,15,0,0.165055
6,3,1,20,0,0.210819
6,3,3,5,0,0.243085
6,3,3,10,0,0.253581
6,3,3,15,0,0.307393
6,3,3,20,0,0.347068
6,3,5,5,0,0.286325
6,3,5,10,0,0.327747
6,3,5,15,0,0.381851
6,3,5,20,0,0.432679
6,3,7,5,0,0.336131
6,3,7,10,0,0.372249
6,3,7,15,0,0.473471
6,3,7,20,0,0.574039
6,3,9,5,0,0.390908
6,3,9,10,0,0.436457
6,3,9,15,0,0.521413
6,3,9,20,0,0.884623
7,3,1,5,0,0.133018
7,3,1,10,0,0.143456
7,3,1,15,0,0.198793
7,3,1,20,0,0.206394
7,3,3,5,0,0.230037
7,3,3,10,0,0.272972
7,3,3,15,0,0.303467
7,3,3,20,0,0.337001
7,3,5,5,0,0.313046
7,3,5,10,0,0.2898
7,3,5,15,0,0.375654
7,3,5,20,0,0.439692
7,3,7,5,0,0.372267
7,3,7,10,0,0.360168
7,3,7,15,0,0.481369
7,3,7,20,0,0.643825
7,3,9,5,0,0.38186
7,3,9,10,0,0.408223
7,3,9,15,0,0.516363
7,3,9,20,0,0.795221
8,3,1,5,0,0.146757
8,3,1,10,0,0.173404
8,3,1,15,0,0.170673
8,3,1,20,0,0.191679
8,3,3,5,0,0.228094
8,3,3,10,0,0.261902
8,3,3,15,0,0.309333
8,3,3,20,0,0.363278
8,3,5,5,0,0.316751
8,3,5,10,0,0.345073
8,3,5,15,0,0.399855
8,3,5,20,0,0.449183
8,3,7,5,0,0.347161
8,3,7,10,0,0.378447
8,3,7,15,0,0.441554
8,3,7,20,0,0.658202
8,3,9,5,0,0.391705
8,3,9,10,0,0.41895
8,3,9,15,0,0.529792
8,3,9,20,0,1.922673
3,4,1,5,0,0.186759
3,4,1,10,0,0.203766
3,4,1,15,0,0.218934
3,4,1,20,0,0.278786
3,4,3,5,0,0.323258
3,4,3,10,0,0.364565
3,4,3,15,0,0.417005
3,4,3,20,0,0.528882
3,4,5,5,0,0.39058
3,4,5,10,0,0.47354
3,4,5,15,0,0.547001
3,4,5,20,0,0.705045
3,4,7,5,0,0.464989
3,4,7,10,0,0.547617
3,4,7,15,0,0.698139
3,4,7,20,0,0.929981
3,4,9,5,0,0.512549
3,4,9,10,0,0.632278
3,4,9,15,0,0.83049
3,4,9,20,1,1.359114
4,4,1,5,0,0.16789
4,4,1,10,0,0.171012
4,4,1,15,0,0.215133
4,4,1,20,0,0.288365
4,4,3,5,0,0.323258
4,4,3,10,0,0.359867
4,4,3,15,0,0.421048
4,4,3,20,0,0.486799
4,4,5,5,0,0.407143
4,4,5,10,0,0.456298
4,4,5,15,0,0.602298
4,4,5,20,0,0.680192
4,4,7,5,0,0.445823
4,4,7,10,0,0.576461
4,4,7,15,0,0.712951
4,4,7,20,0,1.067011
4,4,9,5,0,0.506193
4,4,9,10,0,0.629358
4,4,9,15,0,0.939085
4,4,9,20,1,1.62789
5,4,1,5,0,0.170673
5,4,1,10,0,0.212179
5,4,1,15,0,0.265463
5,4,1,20,0,0.276252
5,4,3,5,0,0.317592
5,4,3,10,0,0.341556
5,4,3,15,0,0.39019
5,4,3,20,0,0.521256
5,4,5,5,0,0.401587
5,4,5,10,0,0.492172
5,4,5,15,0,0.554128
5,4,5,20,0,0.695168
5,4,7,5,0,0.465524
5,4,7,10,0,0.525224
5,4,7,15,0,0.67745
5,4,7,20,0,1.068972
5,4,9,5,0,0.496232
5,4,9,10,0,0.630614
5,4,9,15,0,0.850973
5,4,9,20,1,1.819353
6,4,1,5,0,0.191679
6,4,1,10,0,0.199175
6,4,1,15,0,0.224246
6,4,1,20,0,0.235702
6,4,3,5,0,0.318253
6,4,3,10,0,0.371237
6,4,3,15,0,0.422622
6,4,3,20,0,0.506925
6,4,5,5,0,0.397187
6,4,5,10,0,0.449
6,4,5,15,0,0.606191
6,4,5,20,0,0.767913
6,4,7,5,0,0.481119
6,4,7,10,0,0.570758
6,4,7,15,0,0.715427
6,4,7,20,0,1.063554
6,4,9,5,0,0.496893
6,4,9,10,0,0.619819
6,4,9,15,0,0.907135
6,4,9,20,1,4.311842
7,4,1,5,0,0.189237
7,4,1,10,0,0.196455
7,4,1,15,0,0.219345
7,4,1,20,0,0.253417
7,4,3,5,0,0.317004
7,4,3,10,0,0.35426
7,4,3,15,0,0.440361
7,4,3,20,0,0.497713
7,4,5,5,0,0.381755
7,4,5,10,0,0.492685
7,4,5,15,0,0.561294
7,4,5,20,0,0.738442
7,4,7,5,0,0.463826
7,4,7,10,0,0.537662
7,4,7,15,0,0.662358
7,4,7,20,0,0.985289
7,4,9,5,0,0.518811
7,4,9,10,0,0.656731
7,4,9,15,0,0.912965
7,4,9,20,1,4.639062
8,4,1,5,0,0.194805
8,4,1,10,0,0.210819
8,4,1,15,0,0.237165
8,4,1,20,0,0.253059
8,4,3,5,0,0.313767
8,4,3,10,0,0.347793
8,4,3,15,0,0.413824
8,4,3,20,0,0.491203
8,4,5,5,0,0.364258
8,4,5,10,0,0.44638
8,4,5,15,0,0.578217
8,4,5,20,0,0.646887
8,4,7,5,0,0.45353
8,4,7,10,0,0.547452
8,4,7,15,0,0.705363
8,4,7,20,0,1.135147
8,4,9,5,0,0.532277
8,4,9,10,0,0.610407
8,4,9,15,0,0.862266
8,4,9,20,1,4.806819
3,5,1,5,0,0.296727
3,5,1,10,0,0.355648
3,5,1,15,0,0.412633
3,5,1,20,0,0.452049
3,5,3,5,0,0.552001
3,5,3,10,0,0.629699
3,5,3,15,0,0.862698
3,5,3,20,0,0.988865
3,5,5,5,0,0.70678
3,5,5,10,0,0.952693
3,5,5,15,1,1.156043
3,5,5,20,1,1.552671
3,5,7,5,0,0.866872
3,5,7,10,1,1.161456
3,5,7,15,1,1.507002
3,5,7,20,3,2.256412
3,5,9,5,0,0.95062
3,5,9,10,1,1.354197
3,5,9,15,3,2.098557
3,5,9,20,6,3.793388
4,5,1,5,0,0.285406
4,5,1,10,0,0.358898
4,5,1,15,0,0.390123
4,5,1,20,0,0.452239
4,5,3,5,0,0.550472
4,5,3,10,0,0.709323
4,5,3,15,0,0.825504
4,5,3,20,0,1.038995
4,5,5,5,0,0.679469
4,5,5,10,0,0.887125
4,5,5,15,1,1.1822
4,5,5,20,1,1.518315
4,5,7,5,0,0.842286
4,5,7,10,1,1.140941
4,5,7,15,1,1.543989
4,5,7,20,3,2.625737
4,5,9,5,0,1.016729
4,5,9,10,1,1.343519
4,5,9,15,3,2.186906
4,5,9,20,7,5.000899
5,5,1,5,0,0.278305
5,5,1,10,0,0.312464
5,5,1,15,0,0.442687
5,5,1,20,0,0.46778
5,5,3,5,0,0.532578
5,5,3,10,0,0.660693
5,5,3,15,0,0.807024
5,5,3,20,0,1.023449
5,5,5,5,0,0.729693
5,5,5,10,0,0.875921
5,5,5,15,1,1.181702
5,5,5,20,1,1.696794
5,5,7,5,0,0.860363
5,5,7,10,1,1.072178
5,5,7,15,1,1.571976
5,5,7,20,3,2.719461
5,5,9,5,0,0.910532
5,5,9,10,1,1.329508
5,5,9,15,3,2.211588
5,5,9,20,7,6.204544
6,5,1,5,0,0.295275
6,5,1,10,0,0.37198
6,5,1,15,0,0.416088
6,5,1,20,0,0.481801
6,5,3,5,0,0.487321
6,5,3,10,0,0.666967
6,5,3,15,0,0.768267
6,5,3,20,0,0.97741
6,5,5,5,0,0.743328
6,5,5,10,0,0.901991
6,5,5,15,1,1.229812
6,5,5,20,1,1.635301
6,5,7,5,0,0.843509
6,5,7,10,1,1.141791
6,5,7,15,1,1.609026
6,5,7,20,3,3.114736
6,5,9,5,0,0.973398
6,5,9,10,1,1.37335
6,5,9,15,3,2.310537
6,5,9,20,9,9.478875
7,5,1,5,0,0.303836
7,5,1,10,0,0.315061
7,5,1,15,0,0.428583
7,5,1,20,0,0.493172
7,5,3,5,0,0.507545
7,5,3,10,0,0.680104
7,5,3,15,0,0.903047
7,5,3,20,0,0.990707
7,5,5,5,0,0.722056
7,5,5,10,0,0.888399
7,5,5,15,1,1.257353
7,5,5,20,1,1.585967
7,5,7,5,0,0.851249
7,5,7,10,1,1.134671
7,5,7,15,1,1.540302
7,5,7,20,3,2.76104
7,5,9,5,0,0.99256
7,5,9,10,1,1.34104
7,5,9,15,3,2.275197
